timestamp,weight
04_05_2022_20_27_17,565.05,
04_05_2022_20_27_18,565.03,
04_05_2022_20_27_19,565.05,
04_05_2022_20_27_20,565.06,
04_05_2022_20_27_22,565.07,
04_05_2022_20_27_23,565.07,
04_05_2022_20_27_24,565.06,
04_05_2022_20_27_26,565.06,
04_05_2022_20_27_27,565.09,
04_05_2022_20_27_28,565.06,
04_05_2022_20_27_29,565.03,
04_05_2022_20_27_31,565.06,
04_05_2022_20_27_32,565.06,
04_05_2022_20_27_33,565.06,
04_05_2022_20_27_35,565.06,
04_05_2022_20_27_36,565.07,
04_05_2022_20_27_37,565.07,
04_05_2022_20_27_38,565.06,
04_05_2022_20_27_40,565.05,
04_05_2022_20_27_41,565.09,
04_05_2022_20_27_42,565.07,
04_05_2022_20_27_44,565.06,
04_05_2022_20_27_45,565.09,
04_05_2022_20_27_46,565.06,
04_05_2022_20_27_48,565.04,
04_05_2022_20_27_49,565.07,
04_05_2022_20_27_50,565.08,
04_05_2022_20_27_51,565.05,
04_05_2022_20_27_53,565.07,
04_05_2022_20_27_54,565.06,
04_05_2022_20_27_55,565.05,
04_05_2022_20_27_57,565.06,
04_05_2022_20_27_58,565.07,
04_05_2022_20_27_59,565.08,
04_05_2022_20_28_01,565.08,
04_05_2022_20_28_02,565.08,
04_05_2022_20_28_03,565.04,
04_05_2022_20_28_04,565.09,
04_05_2022_20_28_06,565.05,
04_05_2022_20_28_07,565.08,
04_05_2022_20_28_08,565.08,
04_05_2022_20_28_10,565.08,
04_05_2022_20_28_11,565.08,
04_05_2022_20_28_12,565.08,
04_05_2022_20_28_14,565.04,
04_05_2022_20_28_15,565.08,
04_05_2022_20_28_16,565.05,
04_05_2022_20_28_18,565.08,
04_05_2022_20_28_19,565.06,
04_05_2022_20_28_20,565.07,
04_05_2022_20_28_21,565.07,
04_05_2022_20_28_23,565.05,
04_05_2022_20_28_24,565.07,
04_05_2022_20_28_25,565.09,
04_05_2022_20_28_26,565.09,
04_05_2022_20_28_28,565.06,
04_05_2022_20_28_29,565.09,
04_05_2022_20_28_30,565.06,
04_05_2022_20_28_32,565.06,
04_05_2022_20_28_33,565.05,
04_05_2022_20_28_34,565.06,
04_05_2022_20_28_35,565.05,
04_05_2022_20_28_37,565.04,
04_05_2022_20_28_38,565.06,
04_05_2022_20_28_39,565.09,
04_05_2022_20_28_41,565.05,
04_05_2022_20_28_42,565.09,
04_05_2022_20_28_43,565.05,
04_05_2022_20_28_44,565.07,
04_05_2022_20_28_46,565.08,
04_05_2022_20_28_47,565.06,
04_05_2022_20_28_48,565.08,
04_05_2022_20_28_50,565.05,
04_05_2022_20_28_51,565.05,
04_05_2022_20_28_52,565.08,
04_05_2022_20_28_54,565.09,
04_05_2022_20_28_55,565.09,
04_05_2022_20_28_56,565.03,
04_05_2022_20_28_58,565.08,
04_05_2022_20_28_59,565.04,
04_05_2022_20_29_00,565.07,
04_05_2022_20_29_01,565.08,
04_05_2022_20_29_03,565.06,
04_05_2022_20_29_04,565.09,
04_05_2022_20_29_05,565.04,
